Time,Text,Hashtages,Coordinates,City,Group,lat,lon,Year
16:34:40,Brilliant,[],"[[-4.393285, 55.796184], [-4.393285, 55.920421], [-4.090218, 55.920421], [-4.090218, 55.796184], [-4.393285, 55.796184]]",Glasgow,Bush Fire,50.96239127,-0.300683973,2000
16:34:40,The Bridge Bar in Chapelizod...it looks...familiar. ,[],"[[-6.387438, 53.298745], [-6.387438, 53.41106], [-6.107805, 53.41106], [-6.107805, 53.298745], [-6.387438, 53.298745]]",Dublin City,Bush Fire,50.962658,-0.299791,2000
16:34:41, Exactly 90,[],"[[-7.017507, 52.122381], [-7.017507, 52.797086], [-6.141269, 52.797086], [-6.141269, 52.122381], [-7.017507, 52.122381]]",Wexford,Bush Fire,50.96219001,-0.300449228,2000
16:34:41, Will pass this on ,[],"[[-1.250136, 52.921473], [-1.250136, 53.017965], [-1.094396, 53.017965], [-1.094396, 52.921473], [-1.250136, 52.921473]]",Nottingham,Bush Fire,50.96241073,-0.302021875,2000
16:34:41,'I ran Jeremy Corbyn's leadership bid. But we must now be honest with ourselves' ,[],"[[0.257108, 52.18937], [0.257108, 52.198113], [0.270112, 52.198113], [0.270112, 52.18937], [0.257108, 52.18937]]",Great Wilbraham,Bush Fire,50.968236,-0.303640733,2000
16:34:41, Which you are doing nothing to actually stop ( hint: Trump does not care about impeachment ),[],"[[-1.278461, 54.528279], [-1.278461, 54.59055], [-1.166542, 54.59055], [-1.166542, 54.528279], [-1.278461, 54.528279]]",Middlesbrough,Traffic Congestion,50.96100785,-0.303881511,2000
16:34:41,Arsenal are shite 90 seconds ,[],"[[-0.504965, 51.861227], [-0.504965, 51.92766], [-0.35971, 51.92766], [-0.35971, 51.861227], [-0.504965, 51.861227]]",Luton,Protest,50.961929,-0.304147016,2000
16:34:41, Message me if there is any advice I can offer  i found things absolutely baffling when I first did mine!,[],"[[-1.894843, 52.887473], [-1.894843, 52.910783], [-1.850566, 52.910783], [-1.850566, 52.887473], [-1.894843, 52.887473]]",Uttoxeter,Traffic Congestion,50.96261769,-0.303141,2000
16:34:41," Hi, its still the 15th in Scotland  Where are you coming from?  will be making live our ",[],"[[-3.967301, 56.080348], [-3.967301, 56.134948], [-3.899881, 56.134948], [-3.899881, 56.080348], [-3.967301, 56.080348]]",Stirling,Traffic Congestion,50.96110523,-0.301300497,2000
16:34:42,"Thats great for my fantasy football! Not so good as an Arsenal supporter, the defending was atrocious!!",[],"[[-0.855537, 51.708807], [-0.855537, 51.74592], [-0.804046, 51.74592], [-0.804046, 51.708807], [-0.855537, 51.708807]]",Princes Risborough,Traffic Congestion,50.958017,-0.306663108,2000
16:34:42,Woeful start for Arsenal this,[],"[[-0.142058, 51.518552], [-0.142058, 51.575301], [-0.076305, 51.575301], [-0.076305, 51.518552], [-0.142058, 51.518552]]",Islington,Protest,50.989901,-0.336774751,2000
16:34:42, I know! They are actually really sweet kids,[],"[[-2.659936, 51.399367], [-2.659936, 51.516387], [-2.510844, 51.516387], [-2.510844, 51.399367], [-2.659936, 51.399367]]",Bristol,Traffic Congestion,50.96115404,-0.304659396,2010
16:34:43,  I haven't got time for frivolities. You know that ,[],"[[-0.967018, 53.301979], [-0.967018, 53.339261], [-0.923088, 53.339261], [-0.923088, 53.301979], [-0.967018, 53.301979]]",Retford,Traffic Congestion,50.95897105,-0.312271535,2010
16:34:43, Yeh 1 of the best around jay.,[],"[[-0.173706, 50.80835], [-0.173706, 50.872314], [-0.087006, 50.872314], [-0.087006, 50.80835], [-0.173706, 50.80835]]",Brighton,Protest,50.96043552,-0.308444892,2000
16:34:43, I recievief your email re: guest stream. Is there a graphic that can be used?,[],"[[-0.06111, 51.549969], [-0.06111, 51.648542], [0.023642, 51.648542], [0.023642, 51.549969], [-0.06111, 51.549969]]",Walthamstow,Protest,50.966111,-0.310265582,2000
16:34:43,"The ghosts of Chermas past and future.
.
.
.
        ","['london', 'lgbt', 'cabaret', 'gaycabaret', 'lgbtlondon', 'gay', 'gaylondon', 'uk']","[[-0.15191, 51.410792], [-0.15191, 51.509887], [-0.078902, 51.509887], [-0.078902, 51.410792], [-0.15191, 51.410792]]",Lambeth,Protest,50.97016427,-0.307080255,2000
16:34:44, Even the smell is mingin xx,[],"[[-4.067068, 55.841537], [-4.067068, 55.878295], [-3.995135, 55.878295], [-3.995135, 55.841537], [-4.067068, 55.841537]]",Coatbridge,Protest,50.96156929,-0.30848916,2000
16:34:44,  nah I couldnt,[],"[[-4.945155, 55.940874], [-4.945155, 55.979589], [-4.907525, 55.979589], [-4.907525, 55.940874], [-4.945155, 55.940874]]",Dunoon,Bush Fire,50.971018,-0.302600806,2010
16:34:44, and     @ City Varieties Music Hall ,"['sister', 'nephew', 'pantomime', 'christmas', 'cityvarieties']","[[-1.706057, 53.736369], [-1.706057, 53.867543], [-1.424923, 53.867543], [-1.424923, 53.736369], [-1.706057, 53.736369]]",Leeds,Bush Fire,50.96006559,-0.307119782,2010
16:34:44, No worries. Lifes hard enough and hockey should be a haven for everyone away from all of this rubbish.,[],"[[-0.161749, 51.294332], [-0.161749, 51.42353], [-0.023517, 51.42353], [-0.023517, 51.294332], [-0.161749, 51.294332]]",Croydon,Bush Fire,50.96063536,-0.307341155,2010
