Time,Text,Hashtages,Coordinates,City,Entities,indexes,Person_Name
12:16:42,Hope all these footballer get put on SSP for not turn in for work,['COVID_19uk'],"[-2.319934, 53.343623]",Manchester,"[['ssp', 'ORG']]",562,HSutcliffe77
12:17:14,"So, people have enough money to stockpile and think for themselves now? Good. Do not go to A&amp;E for triv",['COVID_19uk'],"[-0.74578, 51.448222]",East,"[['triv', 'GPE']]",672,mrsayitlikeitis
12:18:30,My local shop,"['Greysteel', 'northernireland', 'COVID_19uk', 'COVID2019IRELAND']","[-7.126866, 55.027057]",Greysteel,,929,DMFotoNI
12:19:52,Impact on society,['COVID_19uk'],"[-0.597707, 51.44335]",Old Windsor,,1179,rosesevans
12:20:07,Stay safe out there!,"['COVID_19uk', 'CoronaVirusUpdate']","[-2.814317, 52.683871]",Shrewsbury,,1240,7video
12:26:14,When someone tell me to :,"['SelfIsolate', 'COVID_19uk', 'selfisolating', 'FridayThe13th', 'cornoravirus']","[-2.454026, 53.416348]",Salford,,2464,ForeverAlexisXX
12:29:17,Looks like our print mess up and print out the Mr Mens guide to hand washing...,['COVID_19uk'],"[-6.082983, 57.349892]",Clachan,,3105,CalumRaasay
12:31:48,Looks like our printer mess up and accidentally print out the Mr Men guide to hand washing...,['COVID_19uk'],"[-6.082983, 57.349892]",Clachan,,3607,CalumRaasay
12:36:35,Flexible route to continue learn and development in a pandemic,"['learning', 'COVID_19uk']","[-0.597707, 51.44335]",Old Windsor,,4557,rosesevans
12:36:47,Just arrive in the post - hopefully be blast before the begins!,"['COVID_19uk', 'WeAreSomerset']","[-1.957296, 50.574606]",South East,,4598,jonboy_avfc
12:37:29,"Is this really the government that be planning a best case scenario of 300,000-500,000 death of That'",['COVID_19uk'],"[-0.213503, 51.512805]",Camden Town,"[['300,000-500,000', 'QUANTITY']]",4742,MikScarlet
12:37:44,"We be talk about a metre space to reduce spending of but here Rainham Essex , branch be",['COVID_19uk'],"[-0.510365, 51.286702]",London,"[['rainham essex', 'PERSON']]",4794,rachiedally
12:39:27,American strategy for the corona virus after cut everyone capable of deal with the,"['POTUS', 'COVID_19uk']","[-2.814317, 52.683871]",Shrewsbury,"[['american', 'NORP']]",5148,JarvCocker
12:40:37,"Keep a metre space distance between to reduce spending of but here Rainham Essex , branch",['COVID_19uk'],"[0.191747, 51.518474]",Barclays,"[['rainham essex', 'PERSON']]",5387,rachiedally
