Time,Text,Hashtages,Coordinates,City,Entities,indexes,Person_Name
12:15:05,it's friday! it's be a busy week for u a we have be add new item to our website. if youre look for so,[],"[0.477715, 51.325298]",Rochester,"[['friday', 'DATE'], ['a busy week', 'DATE']]",234,KaizenAntiques
12:15:08,its friday lunchtime in - but feel like a sunday,['Dublin'],"[-6.387438, 53.298745]",Dublin City,"[['friday', 'DATE'], ['sunday', 'DATE']]",251,RTENewsPaulC
12:19:05,fact friday ... a thread from my bumbling bee ... (part 1),"['Bee', 'beelife', 'phdchat']","[-0.408945, 51.79144]",Harpenden,"[['friday', 'DATE'], ['1', 'CARDINAL']]",1013,BumblingLaura
12:19:43,"phishing friday, the site be quite a functional copy of site.",[],"[-2.689649, 54.451137]",North East,"[['friday', 'DATE']]",1143,djc1982
12:21:30,freaky friday!,['boohoo'],"[-1.609027, 54.506817]",Darlington,"[['friday', 'DATE']]",1516,JadeNinaa
12:22:10,filming tourist show up to close attraction be the new english stag party in temple bar on good friday,[],"[-6.387438, 53.298745]",Dublin City,"[['english', 'NORP'], ['temple bar', 'GPE'], ['friday', 'DATE']]",1648,SMurphyTV
12:22:26,friday feel and work all weekend!,[],"[-3.851639, 55.983199]",Falkirk,"[['friday', 'DATE'], ['all weekend', 'DATE']]",1712,Michellemuir17
12:22:34,good thing happen to good people! our friday start with phil and anne collect their bespoke d,[],"[-1.14452, 52.569949]",Oadby,"[['friday', 'DATE'], ['phil', 'PERSON'], ['anne', 'PERSON']]",1744,ReepMidlands
12:23:48,"friday at creamfields will be carnage darren styles, ben nicky and scooter",[],"[-2.034105, 51.977226]",East Midlands,"[['friday', 'DATE'], ['darren', 'PERSON'], ['ben nicky', 'PERSON']]",2006,JakeDobson96
12:24:28,its a friday vibe,[],"[-6.387438, 53.298745]",Dublin City,"[['friday', 'DATE']]",2140,DetectiveClarke
12:25:34,"we really appreciate it, happy friday",['ThanksForTheFollow'],"[-2.088554, 51.345626]",Seend,"[['friday', 'DATE']]",2335,VolunteerBANES
12:26:08,with a niangs thai thats the gl food friday triple crown,[],"[-2.272842, 51.721517]",Stroud,"[['a niangs thai', 'NORP'], ['gl', 'ORG'], ['friday', 'DATE']]",2439,benfalconer
12:26:23,its freaky friday,[],"[-3.244824, 54.092923]",Barrow-in-Furness,"[['friday', 'DATE']]",2490,Aaapril_
12:26:32,beautiful spring scene in botanical gardens -a little bit of niceness for your friday c,['Sheffield'],"[-1.573648, 53.309898]",Sheffield,"[['spring', 'DATE'], ['botanical gardens', 'LOC'], ['friday', 'DATE']]",2521,VisitSheffield
