Time,Text,Hashtages,Coordinates,City,Entities,indexes,Person_Name
12:14:10,"as we recognise concern have now move into the 'delay phase' in the uk regard the coronavirus, we would like",[],"[-3.148037, 50.98599]",Taunton,"[['uk', 'GPE'], ['coronavirus', 'ORG']]",57,Superjuicego
12:15:14,everyone: coronavirus will be wipe out once it becomes summer again coronavirus in november 2020:,[],"[-6.546814, 53.178753]",South Dublin,"[['coronavirus', 'ORG'], ['summer', 'DATE'], ['coronavirus', 'ORG'], ['november 2020', 'DATE']]",266,WeWantOleOut
12:15:49,the joy or coronavirus be instead of work today (job get binned) i get to spend time reading through a very deta,[],"[-0.514092, 51.72224]",Hemel Hempstead,"[['coronavirus', 'ORG'], ['today', 'DATE']]",387,chrishughesfilm
12:15:52,"talksport. coronavirus be huge story now. with his take on it, we have on the line john hartson. fucking hell.",[],"[-1.706057, 53.736369]",Leeds,"[['coronavirus', 'ORG'], ['john hartson', 'PERSON']]",401,DarrylKnee
12:16:05,coronavirus be announce a a pandemic yet the only time scottish people take it seriously be when the old firm i,[],"[-3.328512, 55.894729]",Edinburgh,"[['coronavirus', 'ORG'], ['pandemic', 'ORG'], ['scottish', 'NORP']]",450,amygarrodxx
12:17:01,international break still bad than a coronavirus break -,[],"[-2.142873, 51.861864]",Cheltenham,"[['coronavirus', 'ORG']]",625,MichaelWilkie77
12:17:32,coronavirus wont stop me support my team,[],"[-1.957296, 50.574606]",South East,"[['coronavirus', 'ORG']]",742,lewcifer93
12:17:35,s&amp;p500 one year prior to the outbreak of h1n1 and of coronavirus i know there be a wish for exploit the politic,[],"[-0.080028, 51.48432]",Poplar,"[['one year', 'DATE'], ['h1n1', 'GPE'], ['coronavirus', 'ORG']]",750,S_Valdivieso
12:18:42,coronavirus,[],"[-0.18576, 51.604519]",Enfield,"[['coronavirus', 'ORG']]",959,chrispice_musik
12:21:03,right seriously this coronavirus really need to stop now !! i have ticket to see in glasgow in ma,[],"[-4.393285, 55.796184]",Glasgow,"[['coronavirus', 'ORG'], ['glasgow', 'GPE'], ['ma', 'GPE']]",1425,Louise_Sharp1
12:21:58,coronavirus beef in the common,[],"[-0.15191, 51.410792]",Lambeth,"[['coronavirus', 'ORG']]",1606,93_smithereens
12:22:20,i really hope the coronavirus stay away from you the resident and your collea,[],"[-3.30809, 51.387271]",Barry,"[['coronavirus', 'ORG']]",1685,reddevil1975
12:22:42,coronavirus,[],"[-0.292579, 51.555179]",Barnet,"[['coronavirus', 'ORG']]",1775,Mazipita
12:23:28,coronavirus (covid-19). don't ignore it. don't live in fear. take precaution. it be a challenge to humanity which,[],"[-0.074547, 51.414087]",Lewisham,"[['coronavirus', 'ORG']]",1939,OrdrsUK
12:23:38,"so we're go to be just get over the peak of coronavirus and just start to recover then boom,",[],"[-0.667426, 52.333067]",Finedon,"[['coronavirus', 'ORG']]",1977,Joe_Example
12:23:53,in light of the coronavirus i will be take absolutely no time off work and go about my day a normal . working,[],"[-1.289608, 51.712267]",Oxford,"[['coronavirus', 'ORG']]",2025,Njdecorating
12:25:43,fs this coronavirus be get serious. public go nut in the shop for stuff they dont need. it's that bad at m,[],"[-4.481062, 55.813404]",Paisley,"[['coronavirus', 'ORG']]",2363,BBRaymie
